chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,target
0.26751244,2601.3699474553327,2015.9772599211606,5024.485518292683,0.12779461,0.16587271341463414,ng
0.24781477,1509.9778103820925,1652.9149215499813,2887.329931972789,0.0960482,0.10277489902210885,ng
0.41161293,1884.4359813029344,1386.9342574121138,3376.2842465753424,0.11258604,0.16377488227739725,ng
0.30726275,1776.4503956733424,1673.183569829836,3620.065789473684,0.1628321,0.12161800986842106,ng
0.30715534,1739.5856027438301,1845.9563023225319,3877.9296875,0.08824476,0.09702555338541667,ng
0.47212294,2512.7777474806535,2220.5468911375515,5356.038411458333,0.05439667,0.21473185221354166,ng
0.17920303,2080.022272243068,1120.1347955414394,2933.277027027027,0.261596,0.22887633727477477,ng
0.6472532,1905.3817144336253,1924.9315367063177,4081.2752016129034,0.022605477,0.1233303931451613,ng
0.44993523,2160.385857198764,1980.6019639724389,4591.930650684932,0.110336356,0.1435479987157534,ng
0.18727751,3016.221400129679,1622.8546128780324,4665.13671875,0.2903405,0.201953125,ng
0.3083107,1868.6078137884542,1766.3920990093893,3782.5969827586205,0.051521033,0.13838002873563218,ng
0.3299312,1637.6396852944417,1330.883531201789,2691.0860655737706,0.09987621,0.12329501793032786,ng
0.31661883,1912.6615371507316,1581.2191177286745,3578.71835443038,0.19649607,0.12393690664556962,ng
0.46401364,1837.8336481816245,1652.1277942990118,3593.998015873016,0.06433551,0.13398282490079366,ng
0.39909586,1921.3172714382806,1418.076420178133,3571.124188311688,0.10218898,0.15982016030844157,ng
0.35149848,3116.90073471212,1708.7520820054553,5044.714095744681,0.10522435,0.2746218417553192,ng
0.26497135,2665.0895466628226,1514.7108795772847,4117.1875,0.1412624,0.2732306985294118,ng
0.39197624,1813.5036324432388,1631.5584087833681,3266.2130376344085,0.1292009,0.14235236055107528,ng
0.23414291,3009.181637519582,2094.924969112286,5532.353940217391,0.10828352,0.18623683763586957,ng
0.32885683,1810.7755587074068,1422.5769186125585,3480.1339285714284,0.073065095,0.1547572544642857,ok
